Sarah,698,642,561,606,655,650
Emma,593,703,787,791,532,592
Katie,571,575,574,468,418,422
Aoife,546,492,534,571,585,601
Sophie,497,451,468,432,404,303
Ava,463,339,308,255,216,137
Grace,450,369,295,258,191,200
Ella,447,405,381,327,204,112
Leah,444,427,424,395,351,374
Ciara,408,484,500,535,577,552
Amy,396,510,546,410,485,447
Emily,396,385,346,273,278,287
Lucy,390,275,276,203,169,157
Chloe,375,440,453,412,516,556
Caoimhe,363,345,357,357,272,274
Hannah,357,350,340,340,368,343
Rachel,355,381,342,431,364,400
Niamh,350,375,421,370,407,477
Rebecca,324,353,290,295,361,350
Jessica,322,311,264,292,302,262
Anna,320,290,245,265,247,232
Lauren,320,312,318,311,402,477
Kate,307,284,342,295,301,258
Laura,248,231,261,268,349,361
Mia,235,192,163,131,119,73
Molly,235,261,206,163,179,172
Roisin,233,280,237,222,228,239
Aisling,224,204,217,203,210,248
Saoirse,217,186,176,172,181,192
Ellie,215,193,169,153,122,54
Abbie,211,236,210,182,111,81
Megan,210,248,299,310,387,401
Holly,203,228,253,213,171,107
Ellen,196,220,222,253,229,241
Erin,196,158,119,135,117,120
Nicole,191,172,161,179,228,259
Aine,175,187,190,183,149,156
Tara,173,165,175,147,180,168
Shauna,162,168,194,231,232,299
Clodagh,161,152,153,125,127,129
Ruby,158,99,41,42,23,23
Lily,153,119,101,66,58,53
Katelyn,152,153,171,173,109,96
Abigail,146,146,140,102,75,77
Eva,146,131,127,100,112,127
Caitlin,143,191,189,192,151,160
Zoe,141,150,132,136,133,129
Eimear,138,148,135,125,133,146
Shannon,137,107,129,114,166,191
Isabelle,129,98,72,51,64,46
Aimee,128,141,127,119,77,72
Mary,124,133,133,128,140,153
Orla,124,115,116,113,141,149
Alannah,121,123,113,117,93,96
Aoibhe,120,95,75,53,33,24
Olivia,120,99,83,70,74,84
Eve,117,106,101,91,91,126
Kayleigh,115,99,81,80,75,72
