AARON 	19 	13 	6 	12 	14 	8 	: 	: 	8 	6
ABDI 	10 	7 	8 	: 	8 	8 	6 	5 	7 	8
ABDIRAHMAN 	16 	19 	18 	17 	7 	15 	14 	10 	15 	6
ABDUL 	17 	12 	7 	12 	7 	13 	8 	11 	9 	7
ABDULLAH 	10 	11 	11 	6 	11 	: 	13 	9 	8 	6
ABDULLAHI 	9 	11 	6 	10 	6 	5 	6 	12 	12 	10
ABEL 	9 	: 	6 	4 	9 	: 	10 	5 	4 	4
ADAM 	74 	66 	49 	48 	54 	43 	34 	21 	22 	22
ADRIAN 	382 	447 	388 	383 	352 	367 	381 	376 	308 	281
AHMAD 	10 	12 	6 	10 	14 	15 	15 	11 	8 	12
AHMED 	22 	22 	31 	29 	29 	24 	29 	29 	28 	34
AKSEL 	118 	119 	111 	74 	63 	47 	74 	57 	57 	72
ALAN 	13 	13 	: 	12 	7 	: 	8 	10 	9 	8
ALBERT 	48 	27 	44 	39 	30 	23 	22 	24 	18 	8
ALBIN 	4 	6 	8 	7 	6 	14 	8 	6 	7 	:
ALEKSANDER 	187 	171 	152 	171 	190 	198 	202 	254 	212 	233
ALEX 	24 	17 	23 	15 	12 	10 	6 	12 	8 	8
ALEXANDER 	289 	296 	289 	261 	252 	287 	268 	262 	272 	269
ALF 	9 	8 	13 	18 	13 	15 	17 	32 	21 	20
ALFRED 	34 	32 	26 	28 	21 	18 	9 	15 	12 	8
ALI 	39 	35 	37 	28 	45 	33 	48 	55 	43 	48
ALVIN 	13 	9 	9 	7 	4 	: 	4 	: 	: 	:
AMANDUS 	8 	14 	5 	6 	6 	6 	9 	6 	: 	:
AMIN 	6 	9 	9 	7 	5 	4 	5 	8 	4 	12
AMIR 	14 	11 	10 	13 	8 	7 	10 	20 	11 	6
AMUND 	79 	59 	70 	73 	61 	64 	49 	65 	67 	50
ANAS 	9 	6 	11 	7 	6 	: 	: 	: 	5 	:
ANDERS 	132 	163 	200 	211 	255 	264 	247 	332 	331 	405
ANDRE 	47 	65 	80 	81 	98 	108 	107 	113 	135 	151
ANDREAS 	462 	440 	494 	510 	510 	554 	554 	633 	606 	694
ANTHONY 	6 	: 	8 	5 	5 	9 	10 	4 	4 	8
ANTON 	52 	34 	29 	31 	39 	19 	32 	29 	21 	19
ANTONIO 	: 	9 	5 	: 	10 	19 	9 	: 	8 	4
ARE 	24 	20 	23 	23 	30 	22 	21 	12 	15 	31
ARI 	5 	4 	7 	8 	14 	: 	: 	: 	6 	4
ARIAN 	13 	23 	20 	14 	14 	9 	13 	8 	10 	5
ARILD 	8 	4 	11 	9 	5 	10 	17 	25 	17 	19
ARMAN 	6 	6 	: 	10 	5 	11 	6 	5 	: 	5
ARN 	10 	7 	: 	: 	4 	: 	: 	: 	: 	:
ARNE 	28 	39 	36 	44 	35 	43 	41 	55 	50 	49
ARNT 	6 	6 	5 	4 	7 	5 	10 	13 	12 	8
ARON 	77 	73 	58 	39 	45 	35 	40 	26 	35 	25
ARTHUR 	17 	11 	17 	16 	8 	11 	21 	10 	13 	13
ARVID 	10 	4 	5 	8 	7 	11 	6 	9 	9 	10
ARYAN 	6 	10 	10 	7 	5 	4 	: 	: 	: 	:
ASBJØRN 	14 	9 	16 	14 	21 	20 	19 	29 	24 	19
ASGEIR 	: 	10 	5 	6 	9 	18 	15 	11 	4 	5
ASK 	62 	52 	53 	49 	40 	33 	27 	19 	22 	25
ASLAK 	24 	35 	17 	26 	27 	20 	23 	22 	19 	22
ASLE 	: 	4 	4 	: 	9 	: 	9 	9 	5 	15
ATLE 	13 	9 	6 	12 	18 	25 	16 	11 	24 	30
AUDUN 	32 	20 	24 	28 	43 	31 	37 	33 	47 	51
AUGUST 	79 	94 	98 	89 	79 	77 	78 	52 	47 	44
AXEL 	42 	39 	50 	44 	28 	41 	46 	31 	46 	27
BALDER 	22 	8 	8 	12 	5 	11 	5 	7 	10 	7
BASTIAN 	25 	25 	19 	20 	18 	21 	14 	15 	10 	7
BEN 	: 	: 	7 	4 	10 	8 	8 	6 	6 	4
BENDIK 	47 	51 	64 	48 	60 	82 	89 	97 	106 	125
BENJAMIN 	300 	310 	267 	280 	308 	292 	336 	304 	228 	238
BERNHARD 	: 	5 	8 	7 	8 	12 	7 	9 	9 	6
BERNT 	: 	: 	5 	5 	4 	9 	: 	10 	12 	12
BILAL 	7 	12 	5 	11 	12 	7 	10 	16 	18 	11
BIRGER 	5 	6 	5 	6 	5 	7 	7 	14 	8 	10
BIRK 	82 	56 	59 	76 	49 	54 	51 	40 	36 	18
BJARNE 	7 	: 	4 	12 	8 	9 	5 	9 	11 	17
BJARTE 	: 	: 	: 	8 	8 	7 	6 	8 	8 	14
BJØRN 	50 	54 	79 	69 	77 	90 	102 	109 	125 	153
BJØRNAR 	31 	36 	36 	27 	42 	53 	54 	52 	63 	73
BO 	19 	18 	11 	12 	4 	4 	8 	6 	5 	8
BRAGE 	123 	115 	131 	124 	106 	86 	89 	88 	75 	68
BREDE 	14 	27 	21 	32 	25 	24 	32 	26 	25 	18
BRIAN 	15 	17 	24 	16 	19 	16 	21 	17 	15 	18
BROR 	13 	16 	13 	12 	10 	11 	12 	11 	11 	14
