ADA 	78 	76 	63 	49 	56 	53 	36 	27 	30 	32
ADELE 	47 	46 	45 	32 	38 	25 	12 	15 	18 	10
ADINA 	4 	6 	11 	9 	5 	11 	5 	: 	: 	:
AGATHE 	13 	8 	12 	10 	6 	5 	6 	4 	7 	:
AGNES 	47 	58 	41 	37 	27 	22 	34 	20 	20 	32
AGNETE 	4 	6 	5 	10 	5 	10 	7 	8 	5 	11
AGNETHE 	: 	: 	4 	4 	6 	10 	: 	6 	6 	5
AIDA 	15 	10 	14 	9 	11 	10 	7 	11 	9 	9
AILIN 	6 	15 	12 	6 	8 	6 	12 	4 	: 	9
AINA 	14 	14 	17 	14 	19 	23 	24 	31 	25 	46
AISHA 	15 	26 	20 	14 	15 	22 	17 	17 	16 	13
AJLA 	4 	10 	5 	: 	7 	8 	6 	: 	: 	:
ALBA 	10 	6 	4 	: 	5 	: 	6 	4 	5 	4
ALBERTINE 	4 	: 	8 	10 	: 	4 	4 	7 	6 	:
ALEKSANDRA 	14 	14 	11 	12 	16 	21 	21 	22 	16 	16
ALEXANDRA 	52 	90 	85 	66 	64 	63 	70 	72 	40 	63
ALICE 	11 	17 	18 	25 	24 	15 	24 	22 	12 	12
ALIDA 	26 	26 	14 	20 	14 	26 	18 	9 	12 	10
ALINA 	22 	21 	22 	14 	15 	7 	13 	9 	6 	11
ALISE 	11 	9 	8 	9 	7 	10 	10 	7 	9 	9
ALISHA 	11 	12 	13 	: 	7 	: 	: 	: 	: 	:
ALMA 	51 	46 	36 	40 	16 	17 	11 	14 	13 	8
ALVA 	72 	63 	36 	43 	21 	25 	20 	15 	6 	6
ALVILDE 	13 	7 	14 	10 	4 	5 	11 	7 	10 	5
AMAL 	: 	: 	7 	6 	: 	6 	8 	7 	11 	11
AMALIE 	330 	326 	331 	245 	299 	304 	318 	354 	329 	331
AMANDA 	109 	107 	108 	111 	136 	142 	116 	132 	128 	116
AMELIA 	26 	21 	34 	17 	13 	8 	5 	6 	4 	8
AMELIE 	8 	13 	13 	5 	11 	4 	: 	: 	: 	:
AMINA 	31 	27 	32 	22 	33 	21 	19 	20 	12 	14
AMY 	12 	11 	13 	9 	6 	7 	10 	6 	11 	7
ANA 	6 	9 	7 	9 	7 	7 	11 	4 	7 	9
ANASTASIA 	4 	8 	10 	7 	10 	13 	5 	: 	: 	6
ANDREA 	278 	344 	294 	289 	263 	275 	327 	311 	321 	325
ANDRINE 	69 	83 	98 	133 	130 	104 	156 	168 	87 	51
ANE 	148 	120 	103 	77 	90 	94 	111 	114 	125 	99
ANETTE 	36 	36 	32 	65 	80 	73 	69 	73 	101 	111
ANGELA 	5 	9 	5 	7 	: 	11 	5 	: 	: 	:
ANGELICA 	73 	34 	34 	28 	25 	22 	19 	17 	15 	10
ANGELINA 	17 	17 	18 	10 	7 	: 	: 	: 	: 	:
ANINE 	34 	32 	46 	42 	41 	43 	42 	36 	27 	30
ANITA 	7 	14 	20 	18 	19 	30 	32 	23 	45 	66
ANJA 	26 	25 	27 	34 	39 	41 	44 	41 	56 	80
ANN 	15 	25 	23 	20 	28 	31 	41 	44 	44 	58
ANNA 	298 	306 	323 	344 	298 	341 	370 	329 	324 	381
ANNE 	101 	85 	111 	124 	148 	135 	161 	167 	186 	229
ANNELI 	14 	10 	22 	8 	13 	8 	12 	9 	12 	11
ANNETTE 	6 	5 	4 	: 	8 	11 	16 	7 	19 	15
ANNIE 	12 	10 	14 	9 	11 	13 	17 	14 	10 	10
ANNIKA 	34 	32 	30 	26 	26 	24 	30 	27 	25 	27
ANNIKEN 	45 	37 	42 	46 	68 	65 	69 	66 	66 	92
ARIANA 	12 	19 	14 	9 	8 	6 	5 	9 	4 	:
ARIEL 	21 	15 	11 	7 	6 	11 	12 	15 	4 	:
ASTRI 	12 	14 	12 	6 	8 	8 	11 	16 	14 	13
ASTRID 	91 	88 	83 	82 	65 	107 	83 	91 	114 	115
AURORA 	266 	205 	190 	193 	165 	142 	115 	115 	103 	82
AYA 	5 	12 	9 	8 	8 	: 	6 	: 	5 	:
AYLA 	9 	16 	15 	16 	8 	6 	14 	7 	4 	8
BEATE 	8 	7 	8 	7 	10 	22 	10 	16 	26 	20
BEATRICE 	: 	: 	6 	10 	4 	8 	9 	: 	: 	9
BENEDICTE 	45 	45 	51 	47 	66 	80 	79 	85 	91 	110
BENEDIKTE 	22 	30 	26 	24 	35 	49 	43 	64 	79 	65
BENTE 	6 	: 	4 	: 	6 	5 	: 	11 	13 	17
BERIT 	7 	8 	10 	7 	5 	7 	14 	9 	15 	11
BERTINE 	31 	42 	26 	21 	14 	15 	7 	12 	7 	:
BETINA 	10 	9 	4 	9 	11 	7 	16 	8 	8 	7
BETTINA 	9 	8 	11 	10 	18 	17 	18 	18 	15 	21
BIANCA 	6 	: 	13 	4 	7 	9 	4 	7 	: 	7
BIRGIT 	: 	: 	6 	4 	7 	8 	4 	6 	12 	9
BIRGITTE 	9 	10 	9 	22 	20 	30 	28 	29 	47 	48
BIRTE 	5 	: 	: 	: 	: 	6 	4 	9 	8 	12
BJØRG 	5 	: 	5 	8 	5 	4 	10 	11 	9 	6
CAMILLA 	113 	109 	136 	146 	176 	215 	247 	256 	284 	313
CARINA 	29 	17 	11 	25 	30 	29 	40 	30 	48 	39
CARMEN 	47 	26 	19 	16 	18 	17 	13 	11 	9 	8
CAROLINE 	82 	93 	110 	107 	114 	150 	149 	172 	185 	200
CASSANDRA 	24 	20 	18 	25 	21 	10 	25 	13 	11 	9
CATHARINA 	7 	6 	5 	8 	6 	11 	9 	10 	14 	6
CATHRINE 	20 	15 	24 	30 	40 	47 	44 	52 	60 	74
CECILIA 	13 	18 	16 	12 	14 	13 	21 	10 	16 	11
CECILIE 	37 	41 	54 	60 	86 	88 	90 	120 	130 	173
CELINA 	83 	113 	111 	105 	140 	87 	81 	46 	37 	44
CELINE 	152 	158 	138 	165 	179 	154 	191 	184 	143 	153
CHARLOTTE 	71 	60 	85 	87 	83 	109 	123 	150 	171 	172
CHRISTIANE 	9 	14 	10 	9 	8 	17 	16 	15 	13 	9
CHRISTINA 	67 	52 	65 	72 	76 	73 	64 	76 	63 	91
CHRISTINE 	44 	37 	41 	63 	62 	78 	88 	68 	95 	94
CINDY 	12 	6 	: 	: 	: 	: 	: 	5 	4 	:
CLARA 	8 	15 	18 	10 	13 	7 	9 	7 	8 	7
CONNIE 	6 	: 	: 	: 	7 	: 	4 	6 	11 	12
CORNELIA 	48 	34 	22 	25 	23 	26 	22 	17 	13 	18
DANIELA 	9 	6 	10 	9 	10 	4 	5 	4 	4 	8
DANIELLA 	10 	13 	9 	15 	8 	7 	9 	5 	: 	9
DIANA 	11 	6 	10 	13 	9 	10 	8 	10 	11 	14
DINA 	96 	101 	131 	133 	136 	83 	72 	54 	54 	44
DORTHE 	8 	: 	10 	14 	12 	21 	25 	13 	9 	19
DORTHEA 	11 	9 	4 	13 	9 	13 	7 	: 	12 	6
EA 	12 	10 	10 	4 	4 	4 	: 	: 	: 	:
EBBA 	24 	17 	8 	13 	10 	13 	: 	15 	8 	10
EDEL 	8 	7 	8 	9 	11 	7 	11 	13 	8 	7
EIRA 	32 	27 	21 	32 	22 	12 	23 	20 	18 	12
EIRIN 	26 	35 	55 	41 	47 	55 	57 	66 	72 	78
EIVOR 	8 	12 	7 	10 	6 	4 	6 	7 	4 	:
ELEA 	11 	: 	: 	: 	: 	: 	: 	: 	: 	:
ELENA 	34 	26 	25 	30 	25 	23 	23 	33 	19 	34
ELI 	8 	10 	8 	12 	13 	15 	29 	13 	18 	19
ELIDA 	50 	40 	19 	31 	23 	25 	24 	22 	21 	15
ELIN 	36 	29 	39 	45 	58 	50 	70 	84 	75 	69
ELINA 	36 	37 	23 	31 	18 	11 	14 	17 	12 	17
ELINE 	159 	148 	137 	157 	149 	153 	163 	169 	155 	134
ELISA 	29 	23 	17 	31 	30 	24 	30 	17 	5 	8
