Aaron	31	21	24	20	15	-	12	-	-
Abbe	27	21	16	20	11	-	-	-	-
Abdirahman	22	12	16	29	16	20	21	15	15
Abdullah	-	10	10	14	-	-	10	12	-
Abdullahi	14	10	16	14	-	12	17	-	12
Abel 	-	-	10	-	-	-	-	-	-
Adam	567	579	626	670	662	695	797	712	614
Adel	-	-	10	-	11	-	-	-	10
Adis	-	-	-	-	-	-	-	-	10
Adnan	16	-	13	19	11	-	11	11	13
Adrian	263	229	238	200	179	149	154	147	154
Agaton	16	-	10	-	-	10	-	-	-
Agust	-	-	10	11	-	-	-	-	-
Ahmad	23	29	22	24	26	21	25	26	23
Ahmed	47	64	47	46	51	54	62	58	51
Ajdin	15	-	-	14	-	-	-	-	-
Aksel	10	-	-	-	-	-	-	-	-
Alan	19	23	19	22	22	15	14	12	22
Albert	88	77	76	85	68	79	78	48	62
Albin	749	769	801	921	921	845	731	683	669
Aldin	15	22	18	11	-	10	-	-	-
Alec	-	-	-	-	10	-	-	-	-
Aleksandar	-	-	10	14	11	10	13	16	17
Aleksander	-	10	-	10	-	-	-	-	10
Alen	14	10	-	12	14	-	-	10	11
Alessandro	12	-	10	-	-	-	-	11	-
Alex	224	202	210	215	233	210	190	208	211
Alexander	896	941	962	1,015	1,065	936	995	1,009	1,066
Alexis	10	-	-	-	-	-	-	-	-
Alfons	100	99	95	62	63	51	45	30	24
Alfred	303	299	268	269	258	161	145	135	129
Algot	65	64	56	46	36	16	22	14	-
Ali	112	100	103	123	97	111	87	79	99
Allan	32	17	19	17	16	14	11	16	13
Almir	-	-	-	-	-	-	-	-	12
Altin	-	10	-	10	-	-	-	-	-
Alvar	62	40	24	-	11	-	10	-	-
Alve	38	24	17	14	11	-	-	-	-
Alvin	348	253	250	156	84	62	40	18	35
Alwin 	34	26	17	-	-	-	-	-	-
Amadeus	27	28	31	24	24	31	15	21	13
Amar	15	13	12	13	-	14	12	-	-
Amer	-	-	-	-	-	-	-	10	-
Amin	22	23	11	23	-	12	16	-	17
Amir	26	37	31	29	26	26	27	26	32
Anas	10	-	-	11	-	-	-	-	-
Anders	23	28	37	35	34	38	45	53	67
Andi	10	-	11	-	-	-	-	-	-
André	102	102	94	112	115	119	120	130	169
Andreas	116	173	204	228	298	317	370	481	543
Andréas	-	-	-	-	-	-	-	-	10
Andrew	14	-	-	-	-	-	-	-	-
Andy	13	17	16	14	17	15	11	-	15
Anes	-	16	-	-	-	-	-	-	-
Angelo	28	27	27	15	15	-	-	-	-
Ante 	11	13	12	-	-	-	-	-	-
Anthon	14	15	14	10	22	15	20	15	18
Anthony	25	25	16	21	34	35	20	18	20
Anton	887	840	914	991	973	991	1,062	1,091	1,067
Antonio	39	43	43	43	42	41	43	31	36
Arda	28	-	-	-	-	-	-	-	-
Arian	13	17	20	22	13	-	18	13	18
Arman	10	10	17	10	-	11	-	16	-
Armin	20	14	24	21	27	12	19	10	20
Aron	87	87	76	71	70	49	61	43	37
Arthur	12	13	-	15	14	13	-	-	-
Artin	-	-	13	-	-	-	-	10	-
Artur	11	-	-	-	-	-	-	-	-
Arvid	475	442	413	411	326	286	231	203	213
Arwid	10	-	-	-	-	-	-	-	-
Arvin	14	21	15	-	10	11	11	-	14
Assar	17	-	-	-	-	-	-	-	-
Aston	19	15	-	-	-	-	-	-	-
Atle	-	10	13	-	11	-	-	-	-
August	110	116	108	130	133	104	105	87	84
Axel	741	745	754	685	610	581	538	562	495
Ayub	10	-	11	10	-	-	-	-	-
Baran	12	22	-	-	-	-	-	-	-
Bastian	20	17	14	17	11	14	-	-	-
Ben 	-	12	-	-	-	-	-	-	-
Benjamin	338	310	309	316	340	258	228	214	201
Bilal	12	23	12	10	19	11	-	13	14
Billy	14	14	19	-	11	19	21	18	19
Birk	11	11	19	12	14	10	12	16	14
Björn	28	31	40	39	24	52	48	50	67
Bo	10	-	-	-	-	-	-	-	-
Brandon	-	-	-	14	-	-	-	-	-
Brian	-	11	10	-	13	-	-	16	10
Bruno	41	23	21	13	12	-	-	-	-
Buster	16	-	-	-	-	-	-	-	-
Caesar 	19	12	14	-	-	-	-	-	-
Calle	49	46	51	33	40	41	41	29	27
Carl	286	364	369	391	390	416	410	409	409
Carl-Johan 	-	10	19	-	-	-	-	-	-
Carlos	10	-	15	-	11	-	-	-	-
Caspar	11	-	-	12	10	-	12	-	-
Casper	273	273	284	273	269	251	179	158	143
Caspian	23	21	16	-	-	-	-	-	-
Ceasar	18	-	13	-	11	-	-	-	-
Cesar	17	-	11	-	-	-	-	-	10
Cevin	-	-	-	14	-	-	12	-	15
Charbel	-	-	-	-	-	-	11	11	-
Charles	16	-	-	-	12	15	11	10	-
Charlie	157	124	86	92	90	64	67	57	56
Chris	-	-	11	10	-	-	-	-	-
Christian	74	75	75	100	88	87	128	122	128
Christofer 	-	-	10	-	-	-	-	-	-
Christoffer	64	77	101	126	141	173	192	203	254
Christopher	33	27	36	53	54	65	77	75	87
Claes	-	-	-	-	-	-	-	-	16
Colin	59	45	35	36	28	18	21	16	-
Cornelis 	-	-	11	-	-	-	-	-	-
Dag	-	-	13	-	-	11	-	16	-
Dan	-	-	-	-	-	-	16	-	-
Dani	11	-	-	-	-	10	-	-	-
Danial	-	-	10	10	-	11	10	-	-
Daniel	271	319	355	385	458	461	619	741	759
Danny	-	-	15	10	12	-	-	-	13
Dante	87	62	40	51	40	27	28	13	13
Darin	45	59	14	-	-	-	-	-	-
David	433	503	602	623	617	626	640	657	727
Denis	10	11	13	15	17	10	17	-	12
Deniz	-	17	12	17	13	-	18	11	11
Dennis	110	148	151	175	194	193	243	258	264
Denniz	-	-	10	19	10	15	14	10	-
Devin 	24	11	-	-	-	-	-	-	-
Dexter	26	30	19	15	-	-	-	-	-
Didrik	32	25	31	33	22	26	29	19	26
Diego	10	-	-	-	-	-	-	-	-
Dilan	11	-	-	-	-	-	-	-	-
Dino	15	21	18	12	14	18	17	16	12
Dion	13	-	-	-	-	-	-	-	-
Dominic	14	15	12	-	-	-	-	-	-
Douglas	74	79	69	62	73	80	89	47	67
Dylan	38	16	17	23	12	19	14	-	-
Ebbe	49	41	38	21	11	-	-	-	-
Eddie	104	95	92	89	79	64	72	64	78
Edgar	19	17	17	16	-	13	11	-	-
Edin	14	11	12	21	11	16	-	-	16
Edmond	10	-	-	-	-	-	-	-	-
Edvard	27	21	31	26	21	27	22	14	10
Edward	50	32	39	44	47	37	33	22	23
Edvin	407	400	368	345	366	308	251	249	175
Edwin	165	127	106	123	128	114	81	71	50
Efe	10	-	-	-	-	-	-	-	-
Egil	13	13	-	-	-	-	-	-	-
Egon	12	14	11	10	14	-	-	-	-
Einar	37	32	31	32	23	23	14	18	19
Eldin	-	-	-	-	11	-	-	-	-
Elia 	10	-	10	-	-	-	-	-	-
Eliah	11	-	-	-	-	-	-	-	-
Elias	1,035	983	914	919	871	696	597	492	398
Eliaz	10	-	-	-	-	-	-	-	-
Elis	149	111	82	61	55	48	31	21	26
Elliot	441	405	280	262	232	195	155	97	58
Elliott	36	39	27	36	23	21	26	21	10
Elmer	35	19	18	16	19	14	-	10	-
Elof	-	-	12	-	-	-	-	-	-
Elton	72	37	32	21	14	-	-	-	-
Elvin	39	41	36	23	18	-	-	-	-
Elvis	39	48	39	17	26	12	-	-	-
Emanuel	83	75	70	90	100	87	80	73	63
Emil	899	941	1,018	1,106	1,082	950	906	894	845
Emilio	68	42	42	26	32	22	21	19	18
Emin	28	16	17	-	10	-	-	-	-
Emir	20	18	12	14	21	12	16	-	-
Emre	13	-	23	23	14	11	13	-	11
Emrik	31	26	24	26	21	16	19	13	-
Enes	17	11	12	10	-	-	-	-	-
Ensar	10	-	-	-	-	-	-	-	-
Enzo 	19	12	-	-	-	-	-	-	-
Eren	10	-	-	-	-	-	-	-	-
Eric	155	193	192	211	221	236	215	198	258
Erik	717	707	836	830	899	820	851	921	947
Erjon	10	-	-	-	-	-	-	-	-
Eskil	37	47	44	32	33	31	16	14	-
Fabian	169	198	206	188	227	186	189	176	142
Felipe	12	-	-	-	-	-	-	-	-
Felix	505	488	491	460	405	433	466	492	483
Filip	704	744	809	784	757	731	736	780	830
Filiph	-	-	-	12	-	10	12	15	11
Finn 	-	-	11	-	-	-	-	-	-
Folke	42	18	14	10	17	-	11	-	-
Frank	43	30	21	16	15	11	-	-	11
Frans	70	33	30	39	22	17	11	19	22
Fred	34	30	15	15	16	11	13	16	13
Freddie	10	13	-	11	-	-	-	-	12
Freddy	-	10	-	-	-	-	-	-	-
Fredric	-	-	-	-	10	13	15	17	12
Fredrik	103	107	130	149	201	232	330	374	426
Frej	12	12	-	11	-	-	-	-	-
Frode 	-	-	10	-	-	-	-	-	-
Gabriel	353	375	384	386	389	344	331	326	268
Georg	-	-	12	-	11	-	-	15	-
George	17	16	21	20	25	19	21	30	19
Gordon	-	-	12	-	-	11	-	-	-
Gottfrid	-	15	-	-	-	-	-	-	-
Gunnar	21	14	12	14	-	15	19	-	-
Gustaf	90	118	158	143	155	133	139	145	155
Gustav	579	614	676	704	664	599	587	561	547
Hadi	19	19	-	10	-	14	-	-	-
Hampus	426	411	484	553	612	576	560	447	444
Hamza	40	19	22	12	16	17	16	12	13
