Ada	14	14	12	12	-	14	-	-	-
Adela	12	-	-	12	-	-	10	-	-
Adelina	-	-	-	-	10	10	-	-	12
Adina	24	23	25	15	22	29	18	26	22
Adna	-	12	-	-	-	-	-	-	-
Adriana	-	12	-	-	12	-	-	-	-
Agnes	921	476	472	441	397	362	271	256	222
Aida	13	14	10	-	10	-	16	20	15
Aina 	15	12	16	-	-	-	-	-	-
Aisha	26	33	28	13	15	12	10	-	14
Ajla	26	27	28	18	22	-	-	10	15
Alba	23	19	17	14	22	14	14	-	-
Albina	-	-	-	-	14	-	-	-	-
Aleksandra	-	-	-	-	12	10	-	15	10
Alexandra	159	186	205	190	279	247	298	373	279
Alexsandra	-	-	-	-	-	-	10	-	-
Alexia	-	11	-	11	-	-	-	-	11
Aleyna	12	-	-	-	-	-	-	-	-
Alice	799	886	755	664	514	443	455	375	389
Alicia	367	360	339	320	258	211	189	180	235
Alina	46	42	58	34	29	22	18	22	21
Alisa 	14	14	10	-	-	-	-	-	-
Alissa 	-	-	10	-	-	-	-	-	-
Allis	18	19	18	-	10	-	-	-	-
Alma	415	423	401	373	339	292	235	218	144
Alva	895	844	833	830	683	546	451	354	290
Alwa	21	17	11	19	17	-	-	-	-
Alvina	14	14	11	11	10	-	10	-	-
Amalia	14	19	21	19	12	21	14	24	16
Amanda	549	667	702	739	787	853	897	974	1,037
Amber 	-	13	11	-	-	-	-	-	-
Amela	-	-	-	-	-	-	10	-	-
Amelia	149	115	40	27	34	28	23	37	68
Amelie	57	56	44	43	32	23	20	17	22
Amélie 	-	11	-	-	-	-	-	-	-
Amilia	16	20	-	11	12	-	-	-	-
Amina	56	32	43	41	37	40	33	30	37
Amira	14	14	21	-	17	-	-	10	-
Amy	28	26	16	26	19	19	14	11	15
Anastasia	22	19	27	15	14	20	12	10	22
Anastasija	-	10	-	-	-	-	-	-	-
Andrea	51	60	78	98	84	97	102	83	97
Andréa	-	12	-	17	16	15	15	10	13
Angela	19	-	20	16	18	14	-	12	13
Angelica	40	45	44	64	72	73	64	94	112
Angelika	11	-	-	-	-	10	14	13	18
Angelina	149	99	56	58	41	31	14	-	20
Anisa	-	-	-	-	-	-	11	-	-
Anita	13	-	-	11	-	12	10	-	-
Anja	29	25	32	45	36	36	29	26	21
Anna	293	294	351	432	437	435	471	504	536
Anni	-	-	-	10	-	-	-	-	-
Annie	109	128	123	132	121	157	118	137	143
Annika	16	13	11	11	-	19	14	26	37
Antonia	30	23	22	22	33	22	22	26	24
Aprilia 	11	13	-	-	-	-	-	-	-
Asta	15	12	13	15	-	-	-	-	-
Astrid	242	169	163	149	123	109	126	94	101
Aurora	27	24	25	16	17	18	-	-	10
Ava	19	-	13	10	-	11	-	-	-
Aya	30	18	26	17	16	20	17	-	12
Ayla	14	13	10	11	-	-	-	-	-
Aylin	11	-	11	10	-	-	-	-	-
Azra 	-	-	13	-	-	-	-	-	-
Bea	10	16	-	13	-	-	13	-	-
Beata	17	18	24	24	23	23	37	21	16
Beatrice	39	36	33	48	61	52	64	84	81
Belinda	-	14	14	15	-	12	18	12	-
Bella	61	51	37	32	21	15	10	-	-
Berfin	-	-	-	-	-	10	12	12	-
Betty	11	10	11	-	-	-	10	13	-
Bianca	90	76	64	62	61	56	42	37	32
Blenda	12	19	11	14	-	-	-	-	-
Britta	12	-	-	-	-	-	-	-	-
Caisa	-	-	-	-	-	11	-	12	-
Cajsa	42	43	65	64	67	72	82	68	76
Camilla	15	16	14	26	21	23	32	26	51
Carla 	24	12	13	-	-	-	-	-	-
Carmen	-	10	-	-	10	-	-	-	-
Carolin	-	-	-	10	-	-	10	14	13
Carolina	40	34	36	54	52	63	69	96	103
Caroline	36	43	63	75	109	122	132	187	240
Casandra	-	-	-	15	-	-	-	-	10
Cassandra	73	64	87	81	73	74	90	88	84
Cecilia	79	58	88	86	107	125	128	147	150
Celina	21	21	20	34	26	24	28	26	27
Celine	42	36	42	39	31	38	43	35	37
Céline	-	-	11	-	-	-	-	17	16
Chanel 	12	12	-	-	-	-	-	-	-
Chanelle 	-	10	-	-	-	-	-	-	-
Charlotta	-	-	-	-	10	12	14	16	20
Charlotte	12	14	14	16	14	21	36	30	24
Christina	18	11	18	14	19	22	21	20	23
Christine	-	-	-	-	12	-	14	19	20
Cindy	-	-	-	11	-	-	-	-	10
Clara	327	330	351	338	340	335	256	273	252
Claudia	17	19	16	39	33	38	37	34	35
Cornelia	262	280	181	197	198	188	213	232	190
Dalia	-	14	16	14	-	14	13	-	-
Dana	-	-	12	-	11	-	-	-	-
Dania	-	13	-	-	-	-	-	-	-
Daniela	25	21	21	20	20	19	27	23	35
Daniella	49	53	49	70	58	58	56	75	70
Deborah	-	-	-	-	-	-	-	-	10
Denice	-	12	-	-	-	13	14	-	11
Denise	27	37	49	47	37	44	42	50	65
Denize	-	10	13	-	12	-	-	10	-
Desirée	-	11	15	14	-	14	-	13	18
Diana	33	57	49	65	53	55	54	36	65
Dilan	-	-	-	-	-	-	-	10	-
Dilara	15	10	10	12	12	-	-	-	-
Dina	24	25	28	22	10	11	-	10	11
Disa	46	38	39	37	33	34	21	26	17
Donia	-	-	-	10	-	-	-	-	-
Doris 	19	13	-	-	-	-	-	-	-
Ebba	705	773	780	706	661	635	684	605	578
Edit	35	37	21	16	18	13	-	11	-
Edith	71	44	42	43	32	14	19	20	11
Eira	21	14	28	15	10	13	15	-	15
Elena	18	21	11	13	-	-	-	-	-
Eleonora	19	21	-	-	10	11	14	13	-
Elicia 	20	12	15	-	-	-	-	-	-
Elif	-	-	-	-	-	-	-	16	-
Elin	758	869	980	1,051	1,044	944	999	1,076	1,037
Elina	199	217	171	194	145	127	135	121	103
Elinor	15	-	10	15	-	-	19	22	16
Elisa	35	31	26	20	24	17	14	14	15
Elisabet	-	-	10	-	-	-	-	11	-
Elisabeth	25	22	24	28	25	17	27	31	39
Elise	97	90	95	57	66	51	46	49	50
Elissa 	-	11	-	-	-	-	-	-	-
Eliza	11	11	-	-	-	-	-	-	-
Elizabeth	-	-	-	-	10	-	-	-	-
Ella	759	801	776	687	572	353	267	195	198
Elle 	10	13	-	-	-	-	-	-	-
Ellen	506	498	549	510	517	433	463	416	379
Elli	14	-	-	-	-	-	-	-	-
Ellie	50	38	38	35	21	13	-	-	-
Ellinor	84	65	65	92	108	103	135	142	144
Ellinore	-	-	-	-	-	12	17	-	22
Elly	18	16	11	-	10	-	-	-	-
Elma	60	51	40	38	38	35	25	20	20
Elna	19	11	29	19	12	12	-	-	-
Elsa	624	602	619	473	427	308	259	210	224
Elvina	14	-	-	-	-	-	-	-	-
Elvira	256	237	223	238	198	164	164	134	132
Elwira	12	-	-	13	-	-	-	-	-
Embla	71	51	49	48	52	29	19	18	19
Emeli 	-	10	-	-	-	-	-	-	-
Emelia	14	-	-	-	13	-	-	-	12
Emelie	327	343	403	444	438	464	506	602	608
Emely	-	-	-	-	13	-	-	10	-
Emilia	630	553	565	626	629	563	601	611	307
Emilie	19	17	17	24	21	17	17	22	24
Emily	43	43	43	40	30	36	49	35	50
Emina	14	18	19	13	17	14	18	16	14
Emma	1,014	1,103	1,260	1,375	1,220	1,115	1,186	1,394	1,467
Emmelie	-	10	-	13	16	12	13	18	22
Emmi	21	11	20	21	16	10	12	10	-
Emmie	57	69	74	53	40	49	47	35	43
Emmy	131	144	143	127	128	127	155	136	128
Emy	17	11	12	15	-	-	-	11	13
Engla	209	147	105	94	75	56	30	16	11
